"","State","Total.Population..2015","Total.Population..2010","Total.Population..2000","Population.Change..2000.2010....","Median.Age","Population.Density.per.Square.Mile","Median.Household.Income....Dollars.","Per.Capita.Personal.Income....Dollars.","Poverty.Rate....","Number.of.America.s.Byways","Number.of.National.Parks","Number.of.National.Historic.Landmarks","National.Register.of.Historic.Places.Listings","State.Arts.Agency.Appropriations.Per.Capita","Percent.of.Households.with.Broadband.Internet","Arts..Entertainment..Sports.and.Media.Employment.per.1000","Well.Being.Index","Total.Professionally.Active.Physicians.per.1000.Population"
"23","Michigan",9922576,9883640,9938444,"-0.6%",39.6,174.8,"$49847","$40740","16.2%",3,5,41,1853,"$0.91","72.9%",11.8,61.3,3.51
"24","Minnesota",5489594,5303925,4919479,"7.8%",37.8,67.6,"$61481","$48998","11.5%",8,5,25,1665,"$6.47","78.3%",13.34,63.3,3
"25","Mississippi",2992333,2967297,2844658,"4.3%",36.7,63.6,"$39680","$34431","21.5%",2,8,39,1393,"$0.53","59.1%",7.33,60.9,1.99
"26","Missouri",6083672,5988927,5595211,"7.0%",38.5,87.6,"$48363","$41639","15.5%",2,6,37,2224,"$1.14","71.6%",12.91,60.8,2.97
"27","Montana",1032949,989415,902195,"9.7%",39.6,6.9,"$46328","$39903","15.4%",1,8,28,1139,"$0.55","72.9%",13.99,63.8,2.08
"28","Nebraska",1896190,1826341,1711263,"6.7%",36.2,24.2,"$52686","$47557","12.4%",0,5,20,1064,"$0.85","74.8%",11.73,62.1,2.5
"29","Nevada",2890845,2700551,1998257,"35.1%",37.4,25.1,"$51450","$40742","15.2%",4,3,8,372,"$0.49","76.3%",14.42,61.5,1.92
"30","New Hampshire",1330608,1316470,1235786,"6.5%",42.5,147.5,"$66532","$52773","9.2%",3,2,23,758,"$0.22","82.1%",11.81,62.1,2.95
"31","New Jersey",8958013,8791894,8414350,"4.5%",39.4,1205.3,"$71919","$57620","11.1%",2,9,58,1673,"$1.86","80.9%",11.01,61.6,3.09
"32","New Mexico",2085109,2059179,1819046,"13.2%",37.2,17.2,"$44803","$37091","21.3%",8,14,46,1121,"$0.75","67.5%",10.23,62.2,2.47
"33","New York",19795791,19378102,18976457,"2.1%",38.2,415.3,"$58878","$55611","15.9%",3,22,268,5703,"$2.38","76.5%",22.57,61.2,4.02
"34","North Carolina",10042802,9535483,8049313,"18.5%",38.3,200.6,"$46556","$39171","17.2%",4,10,38,2880,"$0.76","72.4%",9.96,62.1,2.5
"35","North Dakota",756927,672591,642200,"4.7%",35.1,10.1,"$59029","$55802","11.5%",2,3,6,439,"$1.30","74.7%",10.3,62.3,2.42
"36","Note",NA,NA,NA,"",NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA
"37","Ohio",11613423,11536504,11353140,"1.6%",39.4,282.5,"$49308","$42236","15.8%",5,8,72,3901,"$1.23","73.9%",11.34,60.5,3.28
"38","Oklahoma",3911338,3751351,3450654,"8.7%",36.2,55.6,"$47529","$43637","16.6%",4,3,22,1246,"$0.93","69.2%",8.95,60.4,2.23
"39","Oregon",4028977,3831074,3421399,"12.0%",39.3,40.6,"$51075","$41220","16.6%",10,6,17,1987,"$0.54","78.9%",14.02,61.7,2.73
"40","Pennsylvania",12802503,12702379,12281054,"3.4%",40.7,285.3,"$53234","$47679","13.6%",3,18,167,3360,"$0.90","73.9%",10.62,61.6,3.56
"41","Quote",NA,NA,NA,"",NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA
"42","Rhode Island",1056298,1052567,1048319,"0.4%",39.8,1015.9,"$54891","$48359","14.3%",0,2,45,771,"$3.10","76.5%",13.23,61.9,4.23
"43","Source",NA,NA,NA,"",NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA
"44","South Carolina",4896146,4625364,4012012,"15.3%",38.8,157.1,"$45238","$36677","18.0%",4,6,76,1511,"$0.90","68.1%",9.27,62.2,2.35
"45","South Dakota",858469,814180,754844,"7.9%",36.6,11,"$50979","$45279","14.2%",2,6,16,1294,"$0.99","71.6%",12.89,63.5,2.15
"46","Tennessee",6600299,6346105,5689283,"11.5%",38.6,156.6,"$44361","$40457","18.3%",5,12,30,2054,"$1.10","68.2%",10.5,61.5,2.68
"47","Texas",27469114,25145561,20851820,"20.6%",34.3,99.8,"$53035","$45669","17.2%",0,13,46,3189,"$0.42","73%",9.83,62.7,2.12
"48","Utah",2995919,2763885,2233169,"23.8%",30.5,34.7,"$60922","$37664","11.7%",8,13,14,1811,"$0.92","81.7%",14.28,63.1,2.03
"49","Vermont",626042,625741,608827,"2.8%",42.8,67.9,"$54166","$46428","12.2%",1,2,18,833,"$1.03","76.3%",17.45,61.8,3.38
"50","Virginia",8382993,8001024,7078515,"13.0%",37.7,207.3,"$64902","$50345","11.8%",5,21,121,2993,"$0.43","77.2%",13.02,62.2,2.53
"51","Washington",7170351,6724540,5894121,"14.1%",37.5,103.8,"$61366","$49610","13.2%",7,14,24,1512,"$0.17","81.9%",15.01,62,2.78
"52","Washington D.C.",672228,601723,572059,"5.2%",33.8,10357.7,"$71648","$69838","17.7%",0,23,74,568,"$24.28","73.4%",43.87,NA,9.47
"53","West Virginia",1844128,1852994,1808344,"2.5%",41.9,77.2,"$41059","$36132","18.3%",6,6,16,1029,"$0.47","66.2%",7.19,58.5,2.77
"54","Wisconsin",5771337,5686986,5363675,"6.0%",39.2,105.7,"$52622","$44186","13.2%",1,2,42,2293,"$0.14","75.3%",12.37,62.4,2.77
"55","Wyoming",586107,563626,493782,"14.1%",36.6,5.9,"$57055","$54584","11.2%",1,7,25,535,"$2.20","76.1%",11.01,63.5,1.92
